Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ITL_CG3_TestSuite,Firefox 69.0,,,2019-10-20 15:30:08,2019-10-20 15:32:02,1m - 54.649s,INCOMPLETE
,,,,,,,
Test Cases/selectComponentStorageTest,Firefox 69.0,Chooses which AWS Bucket that will be used to store components for a release/recipe,compStore,2019-10-20 15:30:08,2019-10-20 15:30:20,11.599s,PASSED
"openBrowser(""https://intense-stream-78237.herokuapp.com/"")",Firefox 69.0,,,2019-10-20 15:30:08,2019-10-20 15:30:17,8.632s,PASSED
"click(findTestObject(""ITL Component Store/i_capprojteam3_fa fa-archive""))",Firefox 69.0,,,2019-10-20 15:30:17,2019-10-20 15:30:18,1.134s,PASSED
closeBrowser(),Firefox 69.0,,,2019-10-20 15:30:18,2019-10-20 15:30:20,1.401s,PASSED
,,,,,,,
Test Cases/addComponentToRecipeTest,Firefox 69.0,Adds a component to a recipe,addCompToRecipe,2019-10-20 15:30:20,2019-10-20 15:30:31,11.407s,PASSED
"openBrowser(""https://intense-stream-78237.herokuapp.com/"")",Firefox 69.0,,,2019-10-20 15:30:20,2019-10-20 15:30:25,5.412s,PASSED
"click(findTestObject(""Page_ITL Component Store/a_Recipes (1)""))",Firefox 69.0,,,2019-10-20 15:30:25,2019-10-20 15:30:26,0.457s,PASSED
"click(findTestObject(""Page_ITL Component Store/button_1112 (1)""))",Firefox 69.0,,,2019-10-20 15:30:26,2019-10-20 15:30:27,0.994s,PASSED
"click(findTestObject(""Page_Versions/button_Add Components (1)""))",Firefox 69.0,,,2019-10-20 15:30:27,2019-10-20 15:30:28,1.202s,PASSED
"click(findTestObject(""Page_ITL Component Store/button_Select (1)""))",Firefox 69.0,,,2019-10-20 15:30:28,2019-10-20 15:30:28,0.441s,PASSED
"click(findTestObject(""Page_Versions/button_Add (1)""))",Firefox 69.0,,,2019-10-20 15:30:28,2019-10-20 15:30:30,1.249s,PASSED
closeBrowser(),Firefox 69.0,,,2019-10-20 15:30:30,2019-10-20 15:30:31,1.335s,PASSED
,,,,,,,
Test Cases/cloneRecipeTest,Firefox 69.0,"Clones a recipe, increments the version number and adds existing components",cloneRecipe,2019-10-20 15:30:31,2019-10-20 15:30:41,10.089s,PASSED
"openBrowser(""https://intense-stream-78237.herokuapp.com/"")",Firefox 69.0,,,2019-10-20 15:30:31,2019-10-20 15:30:37,5.544s,PASSED
"click(findTestObject(""Page_ITL Component Store/a_Recipes (2)""))",Firefox 69.0,,,2019-10-20 15:30:37,2019-10-20 15:30:37,0.548s,PASSED
"click(findTestObject(""Object Repository/Page_ITL Component Store/button_9898""))",Firefox 69.0,,,2019-10-20 15:30:37,2019-10-20 15:30:38,1.189s,PASSED
"click(findTestObject(""Object Repository/Page_Versions/button_Clone""))",Firefox 69.0,,,2019-10-20 15:30:38,2019-10-20 15:30:39,0.798s,PASSED
closeBrowser(),Firefox 69.0,,,2019-10-20 15:30:39,2019-10-20 15:30:41,1.760s,PASSED
,,,,,,,
Test Cases/viewRecipeTest,Firefox 69.0,"Views the name, version, status and components of a recipe in recipe details page",viewRecipe,2019-10-20 15:30:41,2019-10-20 15:30:49,8.413s,PASSED
"openBrowser(""https://intense-stream-78237.herokuapp.com/"")",Firefox 69.0,,,2019-10-20 15:30:41,2019-10-20 15:30:47,5.393s,PASSED
"click(findTestObject(""Page_ITL Component Store/a_Recipes""))",Firefox 69.0,,,2019-10-20 15:30:47,2019-10-20 15:30:47,0.714s,PASSED
"click(findTestObject(""Object Repository/Page_ITL Component Store/button_1112""))",Firefox 69.0,,,2019-10-20 15:30:47,2019-10-20 15:30:48,0.698s,PASSED
closeBrowser(),Firefox 69.0,,,2019-10-20 15:30:48,2019-10-20 15:30:49,1.322s,PASSED
,,,,,,,
Test Cases/deleteRecipeTest,Firefox 69.0,Deletes recipe from recipe list,deleteRecipe,2019-10-20 15:30:49,2019-10-20 15:31:01,11.165s,PASSED
"openBrowser(""https://intense-stream-78237.herokuapp.com/"")",Firefox 69.0,,,2019-10-20 15:30:50,2019-10-20 15:30:57,7.558s,PASSED
"click(findTestObject(""Page_ITL Component Store/a_Recipes (3)""))",Firefox 69.0,,,2019-10-20 15:30:57,2019-10-20 15:30:58,0.581s,PASSED
"click(findTestObject(""Object Repository/Page_ITL Component Store/button_9899""))",Firefox 69.0,,,2019-10-20 15:30:58,2019-10-20 15:30:58,0.538s,PASSED
"click(findTestObject(""Object Repository/Page_Versions/button_Delete""))",Firefox 69.0,,,2019-10-20 15:30:58,2019-10-20 15:30:59,0.870s,PASSED
closeBrowser(),Firefox 69.0,,,2019-10-20 15:30:59,2019-10-20 15:31:01,1.315s,PASSED
,,,,,,,
Test Cases/downloadComponentTest,Firefox 69.0,Downloads a component from the store,downloadComp,2019-10-20 15:31:01,2019-10-20 15:31:14,13.682s,PASSED
"openBrowser(""https://intense-stream-78237.herokuapp.com/"")",Firefox 69.0,,,2019-10-20 15:31:01,2019-10-20 15:31:06,5.488s,PASSED
"click(findTestObject(""Page_ITL Component Store/a_Components (2)""))",Firefox 69.0,,,2019-10-20 15:31:06,2019-10-20 15:31:07,0.758s,PASSED
"click(findTestObject(""Page_ITL Component Store/button_Select (3)""))",Firefox 69.0,,,2019-10-20 15:31:07,2019-10-20 15:31:08,0.617s,PASSED
"click(findTestObject(""Object Repository/Page_Versions/button_concat(1234  )_btn btn-default btn-sm""))",Firefox 69.0,,,2019-10-20 15:31:08,2019-10-20 15:31:13,5.298s,PASSED
closeBrowser(),Firefox 69.0,,,2019-10-20 15:31:13,2019-10-20 15:31:14,1.278s,PASSED
,,,,,,,
Test Cases/searchRecipeTest,Firefox 69.0,Searchs for a recipe based on keyword provided in textbox by user,searchRecipe,2019-10-20 15:31:14,2019-10-20 15:31:23,8.775s,PASSED
"openBrowser(""https://intense-stream-78237.herokuapp.com/"")",Firefox 69.0,,,2019-10-20 15:31:15,2019-10-20 15:31:21,6.068s,PASSED
"click(findTestObject(""Page_ITL Component Store/a_Recipes (4)""))",Firefox 69.0,,,2019-10-20 15:31:21,2019-10-20 15:31:21,0.651s,PASSED
"setText(findTestObject(""Object Repository/Page_ITL Component Store/input_Recipe Store_recipeSearchName""), ""test"")",Firefox 69.0,,,2019-10-20 15:31:21,2019-10-20 15:31:21,0.121s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_ITL Component Store/input_Recipe Store_recipeSearchName""), Keys.chord(ENTER))",Firefox 69.0,,,2019-10-20 15:31:21,2019-10-20 15:31:22,0.122s,PASSED
